	1171
rolls	1
romps	1
roof	1
roofs	1
room	14
rose	13
rough	1
round	55
rounder	3
row	3
rowing	2
royalties	3
royalty	3
rub	1
rubbed	3
rubbing	3
ruddy	1
rude	1
rug	3
rugs	1
rule	12
rules	3
run	12
running	11
runs	1
rushed	1
rushes	11
rust	1
s	331
sad	1
saddle	7
sadly	3
safe	1
safer	1
said	473
sail	1
sal	1
salt	1
same	20
sand	2
sands	1
sandwich	3
sandwiches	2
sang	2
sap	1
sat	13
satisfied	2
saturday	1
saucepan	1
saucer	1
sauntered	1
save	2
saved	1
saves	2
saving	1
saw	14
sawdust	1
sawing	1
sawt	1
saxon	5
say	55
saying	14
says	2
scarcely	2
scene	1
scent	1
scented	3
sceptre	1
schoolboys	1
scold	1
scolding	1
scornful	1
scornfully	1
scramble	1
scrambled	4
scrambling	2
scream	5
screamed	2
screaming	3
screams	1
scrubbing	1
scuttles	1
sea	4
sealing	2
search	2
seas	1
seat	1
seated	2
second	5
secret	1
section	7
sections	1
secure	1
see	88
seeing	1
seem	5
seemed	26
seems	7
seen	13
seized	2
seizing	1
selfish	1
sell	4
send	3
sending	1
sense	2
sensible	2
sent	9
sentence	5
series	1
serious	2
seriously	2
servant	2
servants	2
served	1
service	1
set	24
setting	1
settle	2
settled	3
seven	9
seventh	1
several	10
severe	2
severely	1
severity	1
sevogorob	1
sevot	1
shabby	1
shade	1
shading	2
shadow	1
shadows	1
shady	1
shaggy	1
shake	7
shaking	7
shall	26
shalt	1
shame	1
shan	2
shape	6
shaped	1
share	1
shared	1
sharing	1
sharks	1
sharp	3
sharper	1
sharply	1
shawl	9
shawl_	2
she	542
shed	1
sheep	21
sheep_	1
shelf	6
shelf_	1
shells	1
shelves	1
shine	1
shining	5
ships	1
shoe	1
shoes	2
shook	12
shop	7
shop_	1
shore	1
short	4
shorter	2
should	31
shoulder	6
shouldn	13
shout	2
shouted	4
shouting	3
shovel	1
show	5
shows	1
shrieks	1
shrill	5
shtar	1
shudder	2
shun	1
shut	12
shutting	1
shy	3
shyly	1
shyness	1
side	32
sides	1
sideways	1
sieve	1
sigh	6
sighed	4
sighs	1
sight	7
silence	17
silent	6
silver	1
silvery	2
simple	2
simply	3
sing	6
singing	4
single	2
sir	3
sister	5
sit	5
sitting	19
six	5
sixth	1
sixty	4
size	4
skies	1
skim	1
skipping	1
sky	3
slain	2
sleep	2
sleeping	1
sleepy	4
sleeves	1
slice	4
slices	2
sliding	1
slimy	1
slipped	1
slithy	3
slow	4
slower	1
slowly	8
slyly	1
small	6
smile	7
smiled	6
smiling	2
smoke	2
smokes	1
smooth	2
smoothed	1
smoothly	2
snack	1
snap	3
sneeze	1
snicker	1
snore	2
snoring	5
snorted	1
snow	6
snowdrop	2
snowed	1
snug	1
so	205
sobs	1
soft	6
softer	1
softly	2
soldier	1
soldiers	4
solemn	3
solemnly	2
soles	1
solicit	2
solicitation	1
some	52
somebody	2
somehow	7
something	24
sometimes	12
somewhere	5
son	1
song	14
soon	17
sooner	1
soothing	4
sorry	3
sort	16
sorted	1
sorts	2
sought	1
sound	2
sounded	8
sounds	3
soup	5
speak	16
speaking	6
speaks	1
special	1
specified	2
spectacles	1
speech	4
speed	1
spell	1
spent	1
spied	1
spirited	1
spite	2
spoil	1
spoiled	1
spoilt	1
spoke	18
spoken	5
sprang	2
spread	5
spreading	1
spring	1
sprinkle	1
sq	1
square	12
squares	2
squeak	2
squeaked	1
squeaking	1
squeeze	3
staff	1
stairs	3
stalks	1
stamp	1
stamped	1
stand	3
standing	5
start	5
started	3
starting	1
startled	3
state	8
statements	1
states	19
status	4
stay	4
steadily	1
steam	2
step	1
stepped	1
steps	1
stick	2
sticking	4
sticks	3
sticky	1
stiff	2
stiffly	3
still	20
sting	1
stood	16
stooping	2
stop	6
stopped	6
stopping	2
stops	1
stored	1
storm	1
stormy	1
story	1
straight	9
strange	3
stream	2
streaming	1
street	1
stretched	2
stretching	1
strict	1
strike	1
strings	2
stroke	1
stroked	1
stroking	1
strong	5
struck	3
struggled	2
stuff	2
stuffed	1
stumbled	2
stupid	1
stupider	1
subject	9
subjects	1
submit	1
subscribe	1
subtraction	4
succeed	2
succeeded	2
such	37
sudden	11
suddenly	21
suety	1
sugar	2
suggested	2
suggestion	1
sulkily	3
sulky	3
sum	2
summer	7
summers	1
summon	1
sums	3
sun	6
sunny	3
suns	1
sup	1
support	5
suppose	23
supposing	1
sure	21
surely	1
surprise	5
surprised	11
survey	1
survive	1
swallowed	1
swamp	1
sweet	1
swept	2
swinging	1
sword	2
sympathize	1
synonymous	1
t	315
t_	7
table	20
tables	3
tail	2
take	28
taken	4
takes	4
taking	9
tale	7
talk	17
talking	18
talks	2
tall	2
taller	1
tangled	1
tangles	1
tar	1
tassel	1
taste	1
taught	2
tax	6
taxes	1
tea	6
teach	1
tear	3
tears	8
tease	2
teetotum	1
telegraph	1
telescope	1
tell	34
telling	3
temper	8
tempered	1
ten	3
terms	22
terror	1
texts	1
than	38
thank	7
thanked	2
thanks	2
that	360
the	1795
thee	3
their	28
them	88
themselves	2
then	111
thence	1
there	138
these	10
they	168
thick	4
thin	3
thing	34
things	52
think	50
thinking	14
thinner	1
third	2
thirst	1
thirsty	4
thirty	2
this	167
thorns	1
thorny	1
thoroughly	2
those	10
thou	4
though	26
thought	86
thoughtful	5
thoughtfully	7
thoughts	5
thousand	7
three	17
threes	1
threw	1
through	51
throw	3
throwing	1
thumb	2
thump	4
thumped	1
thunder	2
thunderstorm	3
thursdays	1
thus	1
thy	4
ticket	5
tickets	1
ticking	1
tickled	1
tidings	1
tidy	3
tied	1
tiger	13
tigers	1
tight	3
till	30
time	72
times	14
timid	2
timidly	8
tin	1
tiny	2
tipple	1
tips	1
tiptoe	1
tired	3
tis	2
title	1
to	837
toe	1
toes	1
together	12
toil	1
toilet	1
told	3
tolling	1
tone	41
tongue	1
tongues	1
tonight	1
too	35
took	34
toothache	1
top	12
toss	1
touch	1
touched	2
touching	3
toves	3
towards	7
town	8
towns	1
trademark	14
trailing	1
train	2
trains	1
transcribe	1
transcription	1
transport	1
trap	2
travel	1
traveller	1
travelling	1
trays	1
treacle	1
treasures	1
treat	3
treatment	1
tree	22
trees	7
tremble	1
trembled	1
trembling	3
tremendously	1
trial	1
trick	3
trickled	3
tried	12
trifle	2
tripping	1
triumphant	1
triumphantly	6
trot	1
trotted	2
trotting	1
trouble	2
trough	1
true	1
trumpet	1
trunk	1
truth	1
try	13
trying	10
tuesday	1
tuesdays	1
tulgey	1
tumble	4
tumbled	3
tumbles	1
tumbling	2
tumtum	1
tune	3
tureen	2
turk	1
turn	16
turned	18
turning	13
turns	2
twas	3
tweedle	2
tweedledee	28
tweedledee_	1
tweedledum	36
twenty	1
twice	6
twiddle	1
twig	2
twigs	1
twist	1
twists	1
two	52
twopence	3
twos	1
tying	2
types	1
u	7
uffish	1
ugly	1
umbrella	7
un	4
unable	1
uncertain	1
unclasping	1
unclouded	1
uncomfortable	4
under	28
undergoing	1
understand	10
understood	1
undone	3
unenforceability	1
unfastened	1
unfinished	1
unhappiness	1
unhappy	3
unicorn	24
unicorns	1
uniform	1
uninteresting	1
united	15
unless	7
unlink	1
unpleasant	1
unprotected	1
unsatisfactory	2
unsolicited	1
untidy	4
until	1
unto	1
unwelcome	1
unwisely	1
unwound	2
up	120
updated	2
upon	17
upright	2
uproar	1
upset	1
upside	3
us	15
use	29
used	8
useful	2
user	3
using	6
usual	6
ut	1
v	2
vain	2
vainly	2
valley	2
vanilla	2
vanish	1
vanished	3
variety	1
ve	58
ve_	3
vegetable	1
venture	2
ventured	6
verbs	2
verse	3
version	1
very	132
vexation	2
vexed	3
vexes	1
vi	2
vicious	1
victory	1
view	2
viewed	1
viewing	1
vii	2
viii	2
vinegar	1
violates	1
violently	1
violet	1
virus	1
visit	4
visitor	1
visitors	1
voice	39
voices	7
void	1
volatile	1
volcano	2
volunteer	1
volunteers	5
vorpal	2
w	11
wabe	3
wabe_	1
wages	1
wagging	1
waist	1
waistcoat	1
wait	9
waited	4
waiter	1
waiters	3
waiting	3
wake	7
waking	5
walk	8
walked	9
walking	13
walks	3
wall	5
walrus	14
wandered	1
wandering	2
want	15
wanted	9
wants	2
warm	3
warmer	2
warmth	1
warranties	3
warranty	2
was	350
washed	4
washing	1
wasn	12
wasting	1
watch	5
watched	8
watching	9
water	12
wave	2
waved	1
waves	1
waving	5
wax	4
way	69
ways	6
we	63
weak	1
wealth	2
wear	2
wearily	1
web	1
website	4
wednesday	2
weeds	1
week	4
weep	2
weight	1
welcome	2
well	63
went	88
wept	1
were	80
weren	1
west	1
wet	2
what	148
whatever	4
whatsoever	2
wheat	1
wheels	2
when	82
whenever	8
where	27
wherever	1
whether	12
which	63
whiffling	1
while	25
whiskers	3
whisper	8
whispered	7
whispering	1
whistle	1
whistling	2
white	68
whiter	1
who	37
whole	5
whom	3
whose	7
why	37
wicked	1
wide	4
wider	1
widespread	1
widest	2
widger	1
wife	1
wiggling	1
wild	1
wilderness	1
wildly	5
will	25
willing	2
willow	1
wilt	1
win	2
wind	7
winding	2
window	7
wine	3
wings	7
wink	1
winked	1
wins	2
winter	3
wise	1
wish	17
wishing	1
with	270
wither	1
within	7
without	28
woe	1
woke	1
won	12
wonder	16
wondered	2
wonderfully	2
wondering	5
wonderland	1
wonders	1
wood	30
wooden	1
woods	2
wool	4
word	16
words	14
work	51
worked	1
working	2
works	37
world	7
worse	3
worst	2
worsted	5
worth	5
wough	1
would	85
wouldn	22
wound	1
wrapped	1
wriggling	1
wringing	2
wrist	1
write	3
writes	1
writing	6
written	7
wrong	7
www	9
x	2
xi	2
xii	2
yard	1
yards	7
yawning	1
ye	3
year	3
years	5
yellow	2
yes	14
yesterday	4
yet	17
yhtils	1
ykcowrebbaj	1
yonder	2
you	663
young	6
your	74
yours	2
yourself	11
